Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
01.01.2024 23:00 - 01.01.2024 23:15,11024.0,11927.0
01.01.2024 23:15 - 01.01.2024 23:30,10820.0,11797.0
01.01.2024 23:30 - 01.01.2024 23:45,10635.0,11612.0
01.01.2024 23:45 - 02.01.2024 00:00,10443.0,11515.0
02.01.2024 00:00 - 02.01.2024 00:15,10322.0,11476.0
02.01.2024 00:15 - 02.01.2024 00:30,10272.0,11459.0
02.01.2024 00:30 - 02.01.2024 00:45,10186.0,11362.0
02.01.2024 00:45 - 02.01.2024 01:00,10055.0,11204.0
02.01.2024 01:00 - 02.01.2024 01:15,9969.0,11139.0
02.01.2024 01:15 - 02.01.2024 01:30,9922.0,11081.0
02.01.2024 01:30 - 02.01.2024 01:45,9795.0,10993.0
02.01.2024 01:45 - 02.01.2024 02:00,9697.0,10970.0
02.01.2024 02:00 - 02.01.2024 02:15,9619.0,10904.0
02.01.2024 02:15 - 02.01.2024 02:30,9581.0,10897.0
02.01.2024 02:30 - 02.01.2024 02:45,9488.0,10868.0
02.01.2024 02:45 - 02.01.2024 03:00,9459.0,10808.0
02.01.2024 03:00 - 02.01.2024 03:15,9434.0,10838.0
02.01.2024 03:15 - 02.01.2024 03:30,9365.0,10808.0
02.01.2024 03:30 - 02.01.2024 03:45,9351.0,10812.0
02.01.2024 03:45 - 02.01.2024 04:00,9323.0,10801.0
02.01.2024 04:00 - 02.01.2024 04:15,9426.0,10820.0
02.01.2024 04:15 - 02.01.2024 04:30,9511.0,10875.0
02.01.2024 04:30 - 02.01.2024 04:45,9481.0,10896.0
02.01.2024 04:45 - 02.01.2024 05:00,9489.0,10966.0
02.01.2024 05:00 - 02.01.2024 05:15,9605.0,11110.0
02.01.2024 05:15 - 02.01.2024 05:30,9746.0,11232.0
02.01.2024 05:30 - 02.01.2024 05:45,9851.0,11376.0
02.01.2024 05:45 - 02.01.2024 06:00,9983.0,11566.0
02.01.2024 06:00 - 02.01.2024 06:15,10286.0,11955.0
02.01.2024 06:15 - 02.01.2024 06:30,10645.0,12205.0
02.01.2024 06:30 - 02.01.2024 06:45,10931.0,12479.0
02.01.2024 06:45 - 02.01.2024 07:00,11240.0,12729.0
02.01.2024 07:00 - 02.01.2024 07:15,11661.0,13229.0
02.01.2024 07:15 - 02.01.2024 07:30,11993.0,13576.0
02.01.2024 07:30 - 02.01.2024 07:45,12269.0,13919.0
02.01.2024 07:45 - 02.01.2024 08:00,12528.0,14278.0
02.01.2024 08:00 - 02.01.2024 08:15,12726.0,14632.0
02.01.2024 08:15 - 02.01.2024 08:30,12985.0,14934.0
02.01.2024 08:30 - 02.01.2024 08:45,13198.0,15153.0
02.01.2024 08:45 - 02.01.2024 09:00,13366.0,15348.0
02.01.2024 09:00 - 02.01.2024 09:15,13471.0,15484.0
02.01.2024 09:15 - 02.01.2024 09:30,13532.0,15592.0
02.01.2024 09:30 - 02.01.2024 09:45,13555.0,15672.0
02.01.2024 09:45 - 02.01.2024 10:00,13538.0,15690.0
02.01.2024 10:00 - 02.01.2024 10:15,13590.0,15636.0
02.01.2024 10:15 - 02.01.2024 10:30,13553.0,15563.0
02.01.2024 10:30 - 02.01.2024 10:45,13368.0,15529.0
02.01.2024 10:45 - 02.01.2024 11:00,13283.0,15555.0
02.01.2024 11:00 - 02.01.2024 11:15,13290.0,15593.0
02.01.2024 11:15 - 02.01.2024 11:30,13202.0,15637.0
02.01.2024 11:30 - 02.01.2024 11:45,13182.0,15705.0
02.01.2024 11:45 - 02.01.2024 12:00,13186.0,15769.0
02.01.2024 12:00 - 02.01.2024 12:15,13325.0,15863.0
02.01.2024 12:15 - 02.01.2024 12:30,13402.0,15987.0
02.01.2024 12:30 - 02.01.2024 12:45,13483.0,15984.0
02.01.2024 12:45 - 02.01.2024 13:00,13575.0,16011.0
02.01.2024 13:00 - 02.01.2024 13:15,13663.0,16037.0
02.01.2024 13:15 - 02.01.2024 13:30,13726.0,16064.0
02.01.2024 13:30 - 02.01.2024 13:45,13719.0,16069.0
02.01.2024 13:45 - 02.01.2024 14:00,13743.0,16068.0
02.01.2024 14:00 - 02.01.2024 14:15,13928.0,16039.0
02.01.2024 14:15 - 02.01.2024 14:30,14165.0,16012.0
02.01.2024 14:30 - 02.01.2024 14:45,14332.0,16043.0
02.01.2024 14:45 - 02.01.2024 15:00,14435.0,16043.0
02.01.2024 15:00 - 02.01.2024 15:15,14459.0,16083.0
02.01.2024 15:15 - 02.01.2024 15:30,14606.0,16121.0
02.01.2024 15:30 - 02.01.2024 15:45,14666.0,16216.0
02.01.2024 15:45 - 02.01.2024 16:00,14713.0,16276.0
02.01.2024 16:00 - 02.01.2024 16:15,14770.0,16355.0
02.01.2024 16:15 - 02.01.2024 16:30,14982.0,16414.0
02.01.2024 16:30 - 02.01.2024 16:45,15096.0,16536.0
02.01.2024 16:45 - 02.01.2024 17:00,15181.0,16793.0
02.01.2024 17:00 - 02.01.2024 17:15,15274.0,16942.0
02.01.2024 17:15 - 02.01.2024 17:30,15280.0,17054.0
02.01.2024 17:30 - 02.01.2024 17:45,15399.0,17115.0
02.01.2024 17:45 - 02.01.2024 18:00,15451.0,17042.0
02.01.2024 18:00 - 02.01.2024 18:15,15351.0,16743.0
02.01.2024 18:15 - 02.01.2024 18:30,15232.0,16508.0
02.01.2024 18:30 - 02.01.2024 18:45,15094.0,16348.0
02.01.2024 18:45 - 02.01.2024 19:00,14952.0,16199.0
02.01.2024 19:00 - 02.01.2024 19:15,14755.0,15982.0
02.01.2024 19:15 - 02.01.2024 19:30,14601.0,15828.0
02.01.2024 19:30 - 02.01.2024 19:45,14479.0,15641.0
02.01.2024 19:45 - 02.01.2024 20:00,14356.0,15585.0
02.01.2024 20:00 - 02.01.2024 20:15,14117.0,15272.0
02.01.2024 20:15 - 02.01.2024 20:30,13977.0,15108.0
02.01.2024 20:30 - 02.01.2024 20:45,13852.0,14948.0
02.01.2024 20:45 - 02.01.2024 21:00,13699.0,14785.0
02.01.2024 21:00 - 02.01.2024 21:15,13457.0,14532.0
02.01.2024 21:15 - 02.01.2024 21:30,13282.0,14395.0
02.01.2024 21:30 - 02.01.2024 21:45,13147.0,14222.0
