Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
01.01.2023 00:00 - 01.01.2023 00:15,11330.0,9912.0
01.01.2023 00:15 - 01.01.2023 00:30,11251.0,9813.0
01.01.2023 00:30 - 01.01.2023 00:45,11154.0,9877.0
01.01.2023 00:45 - 01.01.2023 01:00,11045.0,9861.0
01.01.2023 01:00 - 01.01.2023 01:15,10929.0,9847.0
01.01.2023 01:15 - 01.01.2023 01:30,10819.0,9801.0
01.01.2023 01:30 - 01.01.2023 01:45,10721.0,9746.0
01.01.2023 01:45 - 01.01.2023 02:00,10654.0,9680.0
01.01.2023 02:00 - 01.01.2023 02:15,10601.0,9640.0
01.01.2023 02:15 - 01.01.2023 02:30,10567.0,9613.0
01.01.2023 02:30 - 01.01.2023 02:45,10539.0,9524.0
01.01.2023 02:45 - 01.01.2023 03:00,10525.0,9439.0
01.01.2023 03:00 - 01.01.2023 03:15,10508.0,9398.0
01.01.2023 03:15 - 01.01.2023 03:30,10496.0,9325.0
01.01.2023 03:30 - 01.01.2023 03:45,10468.0,9260.0
01.01.2023 03:45 - 01.01.2023 04:00,10446.0,9202.0
01.01.2023 04:00 - 01.01.2023 04:15,10446.0,9172.0
01.01.2023 04:15 - 01.01.2023 04:30,10466.0,9145.0
01.01.2023 04:30 - 01.01.2023 04:45,10457.0,9136.0
01.01.2023 04:45 - 01.01.2023 05:00,10420.0,9090.0
01.01.2023 05:00 - 01.01.2023 05:15,10410.0,9090.0
01.01.2023 05:15 - 01.01.2023 05:30,10463.0,9070.0
01.01.2023 05:30 - 01.01.2023 05:45,10468.0,9074.0
01.01.2023 05:45 - 01.01.2023 06:00,10431.0,9087.0
01.01.2023 06:00 - 01.01.2023 06:15,10447.0,9147.0
01.01.2023 06:15 - 01.01.2023 06:30,10558.0,9153.0
01.01.2023 06:30 - 01.01.2023 06:45,10642.0,9176.0
01.01.2023 06:45 - 01.01.2023 07:00,10715.0,9229.0
01.01.2023 07:00 - 01.01.2023 07:15,10830.0,9340.0
01.01.2023 07:15 - 01.01.2023 07:30,10994.0,9379.0
01.01.2023 07:30 - 01.01.2023 07:45,11155.0,9439.0
01.01.2023 07:45 - 01.01.2023 08:00,11304.0,9513.0
01.01.2023 08:00 - 01.01.2023 08:15,11468.0,9619.0
01.01.2023 08:15 - 01.01.2023 08:30,11654.0,9716.0
01.01.2023 08:30 - 01.01.2023 08:45,11825.0,9775.0
01.01.2023 08:45 - 01.01.2023 09:00,11931.0,9768.0
01.01.2023 09:00 - 01.01.2023 09:15,12014.0,9908.0
01.01.2023 09:15 - 01.01.2023 09:30,12183.0,10017.0
01.01.2023 09:30 - 01.01.2023 09:45,12229.0,10105.0
01.01.2023 09:45 - 01.01.2023 10:00,12257.0,10169.0
01.01.2023 10:00 - 01.01.2023 10:15,12251.0,10192.0
01.01.2023 10:15 - 01.01.2023 10:30,12136.0,10131.0
01.01.2023 10:30 - 01.01.2023 10:45,12017.0,10043.0
01.01.2023 10:45 - 01.01.2023 11:00,11996.0,9970.0
01.01.2023 11:00 - 01.01.2023 11:15,12021.0,10036.0
01.01.2023 11:15 - 01.01.2023 11:30,12044.0,10093.0
01.01.2023 11:30 - 01.01.2023 11:45,12078.0,10025.0
01.01.2023 11:45 - 01.01.2023 12:00,12096.0,10085.0
01.01.2023 12:00 - 01.01.2023 12:15,12066.0,10271.0
01.01.2023 12:15 - 01.01.2023 12:30,12071.0,10355.0
01.01.2023 12:30 - 01.01.2023 12:45,12118.0,10451.0
01.01.2023 12:45 - 01.01.2023 13:00,12196.0,10494.0
01.01.2023 13:00 - 01.01.2023 13:15,12311.0,10476.0
01.01.2023 13:15 - 01.01.2023 13:30,12521.0,10414.0
01.01.2023 13:30 - 01.01.2023 13:45,12642.0,10406.0
01.01.2023 13:45 - 01.01.2023 14:00,12638.0,10609.0
01.01.2023 14:00 - 01.01.2023 14:15,12661.0,10840.0
01.01.2023 14:15 - 01.01.2023 14:30,12679.0,11010.0
01.01.2023 14:30 - 01.01.2023 14:45,12733.0,11115.0
01.01.2023 14:45 - 01.01.2023 15:00,12797.0,11173.0
01.01.2023 15:00 - 01.01.2023 15:15,12852.0,11268.0
01.01.2023 15:15 - 01.01.2023 15:30,12972.0,11404.0
01.01.2023 15:30 - 01.01.2023 15:45,13083.0,11471.0
01.01.2023 15:45 - 01.01.2023 16:00,13141.0,11473.0
01.01.2023 16:00 - 01.01.2023 16:15,13149.0,11474.0
01.01.2023 16:15 - 01.01.2023 16:30,13128.0,11690.0
01.01.2023 16:30 - 01.01.2023 16:45,13223.0,11892.0
01.01.2023 16:45 - 01.01.2023 17:00,13391.0,12125.0
01.01.2023 17:00 - 01.01.2023 17:15,13551.0,12346.0
01.01.2023 17:15 - 01.01.2023 17:30,13628.0,12557.0
01.01.2023 17:30 - 01.01.2023 17:45,13685.0,12723.0
01.01.2023 17:45 - 01.01.2023 18:00,13705.0,12812.0
01.01.2023 18:00 - 01.01.2023 18:15,13666.0,12735.0
01.01.2023 18:15 - 01.01.2023 18:30,13562.0,12671.0
01.01.2023 18:30 - 01.01.2023 18:45,13413.0,12582.0
01.01.2023 18:45 - 01.01.2023 19:00,13270.0,12502.0
01.01.2023 19:00 - 01.01.2023 19:15,13155.0,12434.0
01.01.2023 19:15 - 01.01.2023 19:30,13083.0,12356.0
01.01.2023 19:30 - 01.01.2023 19:45,12992.0,12306.0
01.01.2023 19:45 - 01.01.2023 20:00,12950.0,12296.0
01.01.2023 20:00 - 01.01.2023 20:15,12941.0,12204.0
01.01.2023 20:15 - 01.01.2023 20:30,12960.0,12106.0
01.01.2023 20:30 - 01.01.2023 20:45,12920.0,11954.0
01.01.2023 20:45 - 01.01.2023 21:00,12810.0,11841.0
01.01.2023 21:00 - 01.01.2023 21:15,12734.0,11734.0
01.01.2023 21:15 - 01.01.2023 21:30,12690.0,11622.0
01.01.2023 21:30 - 01.01.2023 21:45,12575.0,11473.0
01.01.2023 21:45 - 01.01.2023 22:00,12480.0,11366.0
01.01.2023 22:00 - 01.01.2023 22:15,12422.0,11228.0
01.01.2023 22:15 - 01.01.2023 22:30,12264.0,11093.0
01.01.2023 22:30 - 01.01.2023 22:45,12041.0,10893.0
01.01.2023 22:45 - 01.01.2023 23:00,11914.0,10713.0
01.01.2023 23:00 - 01.01.2023 23:15,11808.0,10577.0
01.01.2023 23:15 - 01.01.2023 23:30,11719.0,10409.0
01.01.2023 23:30 - 01.01.2023 23:45,11610.0,10338.0
01.01.2023 23:45 - 02.01.2023 00:00,11503.0,10292.0
02.01.2023 00:00 - 02.01.2023 00:15,11446.0,10230.0
02.01.2023 00:15 - 02.01.2023 00:30,11357.0,10116.0
02.01.2023 00:30 - 02.01.2023 00:45,11161.0,9980.0
02.01.2023 00:45 - 02.01.2023 01:00,11057.0,9852.0
02.01.2023 01:00 - 02.01.2023 01:15,10951.0,9719.0
02.01.2023 01:15 - 02.01.2023 01:30,10793.0,9569.0
02.01.2023 01:30 - 02.01.2023 01:45,10688.0,9391.0
02.01.2023 01:45 - 02.01.2023 02:00,10640.0,9286.0
02.01.2023 02:00 - 02.01.2023 02:15,10589.0,9253.0
02.01.2023 02:15 - 02.01.2023 02:30,10508.0,9200.0
02.01.2023 02:30 - 02.01.2023 02:45,10426.0,9147.0
02.01.2023 02:45 - 02.01.2023 03:00,10366.0,9092.0
02.01.2023 03:00 - 02.01.2023 03:15,10314.0,9164.0
02.01.2023 03:15 - 02.01.2023 03:30,10264.0,9159.0
02.01.2023 03:30 - 02.01.2023 03:45,10243.0,9208.0
02.01.2023 03:45 - 02.01.2023 04:00,10213.0,9190.0
02.01.2023 04:00 - 02.01.2023 04:15,10176.0,9291.0
02.01.2023 04:15 - 02.01.2023 04:30,10155.0,9324.0
02.01.2023 04:30 - 02.01.2023 04:45,10133.0,9327.0
02.01.2023 04:45 - 02.01.2023 05:00,10118.0,9368.0
02.01.2023 05:00 - 02.01.2023 05:15,10138.0,9499.0
02.01.2023 05:15 - 02.01.2023 05:30,10212.0,9650.0
02.01.2023 05:30 - 02.01.2023 05:45,10285.0,9831.0
02.01.2023 05:45 - 02.01.2023 06:00,10398.0,9990.0
02.01.2023 06:00 - 02.01.2023 06:15,10569.0,10306.0
02.01.2023 06:15 - 02.01.2023 06:30,10796.0,10553.0
02.01.2023 06:30 - 02.01.2023 06:45,10962.0,10843.0
02.01.2023 06:45 - 02.01.2023 07:00,11121.0,11126.0
02.01.2023 07:00 - 02.01.2023 07:15,11329.0,11496.0
