Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
01.01.2022 00:00 - 01.01.2022 00:15,11766.0,10446.0
01.01.2022 00:15 - 01.01.2022 00:30,11608.0,10388.0
01.01.2022 00:30 - 01.01.2022 00:45,11450.0,10340.0
01.01.2022 00:45 - 01.01.2022 01:00,11305.0,10322.0
01.01.2022 01:00 - 01.01.2022 01:15,11213.0,10326.0
01.01.2022 01:15 - 01.01.2022 01:30,11129.0,10332.0
01.01.2022 01:30 - 01.01.2022 01:45,11048.0,10223.0
01.01.2022 01:45 - 01.01.2022 02:00,10950.0,10118.0
01.01.2022 02:00 - 01.01.2022 02:15,10896.0,10033.0
01.01.2022 02:15 - 01.01.2022 02:30,10822.0,9956.0
01.01.2022 02:30 - 01.01.2022 02:45,10771.0,9861.0
01.01.2022 02:45 - 01.01.2022 03:00,10733.0,9778.0
01.01.2022 03:00 - 01.01.2022 03:15,10739.0,9870.0
01.01.2022 03:15 - 01.01.2022 03:30,10692.0,9843.0
01.01.2022 03:30 - 01.01.2022 03:45,10656.0,9758.0
01.01.2022 03:45 - 01.01.2022 04:00,10618.0,9659.0
01.01.2022 04:00 - 01.01.2022 04:15,10622.0,9663.0
01.01.2022 04:15 - 01.01.2022 04:30,10648.0,9623.0
01.01.2022 04:30 - 01.01.2022 04:45,10656.0,9567.0
01.01.2022 04:45 - 01.01.2022 05:00,10650.0,9506.0
01.01.2022 05:00 - 01.01.2022 05:15,10731.0,9515.0
01.01.2022 05:15 - 01.01.2022 05:30,10773.0,9499.0
01.01.2022 05:30 - 01.01.2022 05:45,10826.0,9524.0
01.01.2022 05:45 - 01.01.2022 06:00,10879.0,9494.0
01.01.2022 06:00 - 01.01.2022 06:15,10991.0,9629.0
01.01.2022 06:15 - 01.01.2022 06:30,11100.0,9673.0
01.01.2022 06:30 - 01.01.2022 06:45,11201.0,9702.0
01.01.2022 06:45 - 01.01.2022 07:00,11360.0,9759.0
01.01.2022 07:00 - 01.01.2022 07:15,11567.0,9822.0
01.01.2022 07:15 - 01.01.2022 07:30,11730.0,9887.0
01.01.2022 07:30 - 01.01.2022 07:45,11962.0,9969.0
01.01.2022 07:45 - 01.01.2022 08:00,12210.0,10009.0
01.01.2022 08:00 - 01.01.2022 08:15,12430.0,10103.0
01.01.2022 08:15 - 01.01.2022 08:30,12664.0,10167.0
01.01.2022 08:30 - 01.01.2022 08:45,12831.0,10184.0
01.01.2022 08:45 - 01.01.2022 09:00,13033.0,10179.0
01.01.2022 09:00 - 01.01.2022 09:15,13188.0,10278.0
01.01.2022 09:15 - 01.01.2022 09:30,13292.0,10330.0
01.01.2022 09:30 - 01.01.2022 09:45,13307.0,10366.0
01.01.2022 09:45 - 01.01.2022 10:00,13289.0,10472.0
01.01.2022 10:00 - 01.01.2022 10:15,13260.0,10574.0
01.01.2022 10:15 - 01.01.2022 10:30,13195.0,10680.0
01.01.2022 10:30 - 01.01.2022 10:45,13125.0,10683.0
01.01.2022 10:45 - 01.01.2022 11:00,13053.0,10715.0
01.01.2022 11:00 - 01.01.2022 11:15,13004.0,10718.0
01.01.2022 11:15 - 01.01.2022 11:30,12930.0,10683.0
01.01.2022 11:30 - 01.01.2022 11:45,12860.0,10652.0
01.01.2022 11:45 - 01.01.2022 12:00,12813.0,10622.0
01.01.2022 12:00 - 01.01.2022 12:15,12793.0,10537.0
01.01.2022 12:15 - 01.01.2022 12:30,12753.0,10507.0
